"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02276V02746","Domestic","C02599V03153","Reason for Journey","UNIT","VALUE"
"HTQ01C1","Number of Trips by Irish Residents","2003Q4","2003Q4","02","Outbound","-","All reasons for journey","Thousand","1095"
"HTQ01C1","Number of Trips by Irish Residents","2003Q4","2003Q4","02","Outbound","01","Holiday","Thousand","590"
"HTQ01C1","Number of Trips by Irish Residents","2003Q4","2003Q4","02","Outbound","02","Business","Thousand","158"
"HTQ01C1","Number of Trips by Irish Residents","2003Q4","2003Q4","02","Outbound","03","Visiting friends/relatives","Thousand","271"
"HTQ01C1","Number of Trips by Irish Residents","2003Q4","2003Q4","02","Outbound","08","Other reasons","Thousand","76"
"HTQ01C1","Number of Trips by Irish Residents","2004Q1","2004Q1","01","Domestic","-","All reasons for journey","Thousand","1585"
"HTQ01C1","Number of Trips by Irish Residents","2004Q1","2004Q1","01","Domestic","01","Holiday","Thousand","572"
"HTQ01C1","Number of Trips by Irish Residents","2004Q1","2004Q1","01","Domestic","02","Business","Thousand","183"
"HTQ01C1","Number of Trips by Irish Residents","2004Q1","2004Q1","01","Domestic","03","Visiting friends/relatives","Thousand","658"
"HTQ01C1","Number of Trips by Irish Residents","2004Q1","2004Q1","01","Domestic","08","Other reasons","Thousand","172"
"HTQ01C1","Number of Trips by Irish Residents","2004Q1","2004Q1","02","Outbound","-","All reasons for journey","Thousand","1069"
"HTQ01C1","Number of Trips by Irish Residents","2004Q1","2004Q1","02","Outbound","01","Holiday","Thousand","582"
"HTQ01C1","Number of Trips by Irish Residents","2004Q1","2004Q1","02","Outbound","02","Business","Thousand","197"
"HTQ01C1","Number of Trips by Irish Residents","2004Q1","2004Q1","02","Outbound","03","Visiting friends/relatives","Thousand","214"
"HTQ01C1","Number of Trips by Irish Residents","2004Q1","2004Q1","02","Outbound","08","Other reasons","Thousand","75"
"HTQ01C1","Number of Trips by Irish Residents","2004Q2","2004Q2","01","Domestic","-","All reasons for journey","Thousand","1533"
"HTQ01C1","Number of Trips by Irish Residents","2004Q2","2004Q2","01","Domestic","01","Holiday","Thousand","723"
"HTQ01C1","Number of Trips by Irish Residents","2004Q2","2004Q2","01","Domestic","02","Business","Thousand","163"
"HTQ01C1","Number of Trips by Irish Residents","2004Q2","2004Q2","01","Domestic","03","Visiting friends/relatives","Thousand","475"
"HTQ01C1","Number of Trips by Irish Residents","2004Q2","2004Q2","01","Domestic","08","Other reasons","Thousand","173"
"HTQ01C1","Number of Trips by Irish Residents","2004Q2","2004Q2","02","Outbound","-","All reasons for journey","Thousand","1425"
"HTQ01C1","Number of Trips by Irish Residents","2004Q2","2004Q2","02","Outbound","01","Holiday","Thousand","953"
"HTQ01C1","Number of Trips by Irish Residents","2004Q2","2004Q2","02","Outbound","02","Business","Thousand","153"
"HTQ01C1","Number of Trips by Irish Residents","2004Q2","2004Q2","02","Outbound","03","Visiting friends/relatives","Thousand","242"
"HTQ01C1","Number of Trips by Irish Residents","2004Q2","2004Q2","02","Outbound","08","Other reasons","Thousand","77"
"HTQ01C1","Number of Trips by Irish Residents","2004Q3","2004Q3","01","Domestic","-","All reasons for journey","Thousand","2167"
"HTQ01C1","Number of Trips by Irish Residents","2004Q3","2004Q3","01","Domestic","01","Holiday","Thousand","1239"
"HTQ01C1","Number of Trips by Irish Residents","2004Q3","2004Q3","01","Domestic","02","Business","Thousand","129"
"HTQ01C1","Number of Trips by Irish Residents","2004Q3","2004Q3","01","Domestic","03","Visiting friends/relatives","Thousand","559"
"HTQ01C1","Number of Trips by Irish Residents","2004Q3","2004Q3","01","Domestic","08","Other reasons","Thousand","241"
"HTQ01C1","Number of Trips by Irish Residents","2004Q3","2004Q3","02","Outbound","-","All reasons for journey","Thousand","1751"
"HTQ01C1","Number of Trips by Irish Residents","2004Q3","2004Q3","02","Outbound","01","Holiday","Thousand","1275"
"HTQ01C1","Number of Trips by Irish Residents","2004Q3","2004Q3","02","Outbound","02","Business","Thousand","163"
"HTQ01C1","Number of Trips by Irish Residents","2004Q3","2004Q3","02","Outbound","03","Visiting friends/relatives","Thousand","224"
"HTQ01C1","Number of Trips by Irish Residents","2004Q3","2004Q3","02","Outbound","08","Other reasons","Thousand","89"
"HTQ01C1","Number of Trips by Irish Residents","2004Q4","2004Q4","01","Domestic","-","All reasons for journey","Thousand","1715"
"HTQ01C1","Number of Trips by Irish Residents","2004Q4","2004Q4","01","Domestic","01","Holiday","Thousand","608"
"HTQ01C1","Number of Trips by Irish Residents","2004Q4","2004Q4","01","Domestic","02","Business","Thousand","149"
"HTQ01C1","Number of Trips by Irish Residents","2004Q4","2004Q4","01","Domestic","03","Visiting friends/relatives","Thousand","729"
